file,pid,hispanic,ethnicity,gender,age,age_group
01480001/01480001_GX010049_08.06.2023_2023-08-07-210107.xlsx,01480001,no,asian,female,2.96,3
01480001/01480001_GX010050_08.06.2023_2023-08-07-213826.xlsx,01480001,no,asian,female,2.96,3
01480001/01480001_GX020050_08.06.2023_2023-08-07-233123.xlsx,01480001,no,asian,female,2.96,3
01480001/01480001_GX030050_08.06.2023_2023-08-08-010834.xlsx,01480001,no,asian,female,2.96,3
01480001/01480001_GX040050_08.06.2023_2023-08-08-014538.xlsx,01480001,no,asian,female,2.96,3
01480001/01480001_GX050050_08.06.2023_2023-08-08-014707.xlsx,01480001,no,asian,female,2.96,3
01590001/01590001_GX010021_08.07.2023_2023-08-07-190420.xlsx,01590001,no,mixed,male,3.17,3
01590001/01590001_GX020021_08.07.2023_2023-08-07-190716.xlsx,01590001,no,mixed,male,3.17,3
01590001/01590001_GX030021_08.07.2023_2023-08-07-195744.xlsx,01590001,no,mixed,male,3.17,3
01590001/01590001_GX040021_08.07.2023_2023-08-07-203914.xlsx,01590001,no,mixed,male,3.17,3
01640001/01640001_GX010012_07.19.2023_2023-07-20-180914.xlsx,01640001,no,white,female,3.22,3
01640001/01640001_GX010013_07.21.2023_2023-07-21-204500.xlsx,01640001,no,white,female,3.22,3
01640001/01640001_GX010014_07.21.2023_2023-07-21-210726.xlsx,01640001,no,white,female,3.22,3
01640001/01640001_GX010016_07.28.2023_2023-07-30-045513.xlsx,01640001,no,white,female,3.24,3
01640001/01640001_GX020012_07.19.2023_2023-07-20-184732.xlsx,01640001,no,white,female,3.22,3
01640001/01640001_GX020014_07.21.2023_2023-07-21-190220.xlsx,01640001,no,white,female,3.22,3
01640001/01640001_GX020016_07.28.2023_2023-07-30-173904.xlsx,01640001,no,white,female,3.24,3
01640001/01640001_GX030012_07.19.2023_2023-07-20-191745.xlsx,01640001,no,white,female,3.22,3
01720001/01720001_GX010046_08.04.2023_2023-08-06-061644.xlsx,01720001,no,white,male,3.41,3
01740001/01740001_GX010009_07.17.2023_2023-07-18-172559.xlsx,01740001,no,mixed,female,3.4,3
01740001/01740001_GX010032_07.28.2023_2023-07-31-181151.xlsx,01740001,no,mixed,female,3.43,3
01740001/01740001_GX020009_07.17.2023_2023-07-18-173850.xlsx,01740001,no,mixed,female,3.4,3
01740001/01740001_GX020032_07.28.2023_2023-07-31-182247.xlsx,01740001,no,mixed,female,3.43,3
01740001/01740001_GX030009_07.17.2023_2023-07-18-224508.xlsx,01740001,no,mixed,female,3.4,3
01750001/01750001_GX010004_07.17.2023_2023-07-17-192942.xlsx,01750001,no,white,male,3.41,3
01750001/01750001_GX010029_07.26.2023_2023-07-31-181836.xlsx,01750001,no,white,male,3.44,3
01750001/01750001_GX010033_07.28.2023_2023-07-31-181357.xlsx,01750001,no,white,male,3.44,3
01750001/01750001_GX010036_07.28.2023_2023-07-31-181603.xlsx,01750001,no,white,male,3.44,3
01750001/01750001_GX010047_08.06.2023_2023-08-07-204216.xlsx,01750001,no,white,male,3.47,3
01750001/01750001_GX020036_07.28.2023_2023-07-31-182500.xlsx,01750001,no,white,male,3.44,3
01970002/01970002_GX010008_07.17.2023_2023-07-18-172307.xlsx,01970002,no,white,female,3.84,3
01970002/01970002_GX010017_7.31.2023_2023-07-31-190440.xlsx,01970002,no,white,female,3.87,3
01970002/01970002_GX010020_07.26.2023_2023-07-26-224852.xlsx,01970002,no,white,female,3.86,3
01970002/01970002_GX010024_08.02.2023_2023-08-02-230916.xlsx,01970002,no,white,female,3.88,3
01970002/01970002_GX010026_08.09.23_2023-08-14-161350.xlsx,01970002,no,white,female,3.9,3
01970002/01970002_GX020020_07.26.2023_2023-07-26-230755.xlsx,01970002,no,white,female,3.86,3
01970002/01970002_GX020024_08.02.2023_2023-08-02-232748.xlsx,01970002,no,white,female,3.88,3
01970002/01970002_GX020026_08.09.23_2023-08-14-161529.xlsx,01970002,no,white,female,3.9,3
01970002/01970002_GX030024_08.02.2023_2023-08-02-230135.xlsx,01970002,no,white,female,3.88,3
01990001/01990001_GX010051_08.06.2023_2023-08-07-221528.xlsx,01990001,no,mixed,male,3.93,3
01990001/01990001_GX010052_08.06.2023_2023-08-07-225310.xlsx,01990001,no,mixed,male,3.93,3
01990001/01990001_GX020051_08.06.2023_2023-08-07-235401.xlsx,01990001,no,mixed,male,3.93,3
01990001/01990001_GX020052_08.06.2023_2023-08-08-003030.xlsx,01990001,no,mixed,male,3.93,3
02100001/02100001_GX010003_07.17.2023_2023-07-17-195324.xlsx,02100001,no,white,male,4.1,4
02100001/02100001_GX020003_07.17.2023_2023-07-17-194735.xlsx,02100001,no,white,male,4.1,4
02100001/02100001_GX030003_07.17.2023_2023-07-17-194012.xlsx,02100001,no,white,male,4.1,4
02100001/02100001_GX040003_07.17.2023_2023-07-17-193356.xlsx,02100001,no,white,male,4.1,4
02140001/02140001_GX010031_08.07.2023_2023-08-07-185117.xlsx,02140001,no,white,male,4.22,4
02140001/02140001_GX010038_07.31.2023_2023-08-02-080911.xlsx,02140001,no,white,male,4.2,4
02140001/02140001_GX010041_08.02.2023_2023-08-02-223057.xlsx,02140001,no,white,male,4.21,4
02140001/02140001_GX020031_08.07.2023_2023-08-07-185640.xlsx,02140001,no,white,male,4.22,4
02140001/02140001_GX020038_07.31.2023_2023-08-02-084633.xlsx,02140001,no,white,male,4.2,4
02140001/02140001_GX020041_08.02.2023_2023-08-02-212925.xlsx,02140001,no,white,male,4.21,4
02140001/02140001_GX030031_08.07.2023_2023-08-07-183653.xlsx,02140001,no,white,male,4.22,4
02140001/02140001_GX030041_08.02.2023_2023-08-02-223129.xlsx,02140001,no,white,male,4.21,4
02140001/02140001_GX040031_08.07.2023_2023-08-07-184259.xlsx,02140001,no,white,male,4.22,4
02140001/02140001_GX050031_08.07.2023_2023-08-07-184722.xlsx,02140001,no,white,male,4.22,4
02370001/02370001_GX010005_07.17.2023_2023-07-17-192857.xlsx,02370001,no,mixed,male,4.61,4
02370001/02370001_GX010006_07.14.2023_2023-07-14-184519.xlsx,02370001,no,mixed,male,4.6,4
02370001/02370001_GX010028_08.04.2023_2023-08-04-205828.xlsx,02370001,no,mixed,male,4.66,4
02370001/02370001_GX010029_08.04.2023_2023-08-04-193508.xlsx,02370001,no,mixed,male,4.66,4
02370001/02370001_GX020005_07.17.2023_2023-07-17-192301.xlsx,02370001,no,mixed,male,4.61,4
02370001/02370001_GX020006_07.14.2023_2023-07-14-190051.xlsx,02370001,no,mixed,male,4.6,4
02370001/02370001_GX030005_07.17.2023_2023-07-17-191655.xlsx,02370001,no,mixed,male,4.61,4
02370001/02370001_GX030006_07.14.2023_2023-07-14-185308.xlsx,02370001,no,mixed,male,4.6,4
02370001/02370001_GX040005_07.17.2023_2023-07-17-191101.xlsx,02370001,no,mixed,male,4.61,4
02390001/02390001_GX010007_07.17.2023_2023-07-18-172039.xlsx,02390001,no,mixed,male,4.64,4
02390001/02390001_GX010017_07.21.2023_2023-07-25-001709.xlsx,02390001,no,mixed,male,4.65,4
02390001/02390001_GX010021_07.26.2023_2023-07-26-225450.xlsx,02390001,no,mixed,male,4.66,4
02390001/02390001_GX010022_07.26.2023_2023-07-26-230105.xlsx,02390001,no,mixed,male,4.66,4
02390001/02390001_GX020007_07.17.2023_2023-07-18-173600.xlsx,02390001,no,mixed,male,4.64,4
02390001/02390001_GX020017_07.21.2023_2023-07-24-201930.xlsx,02390001,no,mixed,male,4.65,4
02390001/02390001_GX020021_07.26.2023_2023-07-26-231410.xlsx,02390001,no,mixed,male,4.66,4
02390001/02390001_GX020022_07.26.2023_2023-07-26-232011.xlsx,02390001,no,mixed,male,4.66,4
02390001/02390001_GX030007_07.17.2023_2023-07-18-180435.xlsx,02390001,no,mixed,male,4.64,4
02390001/02390001_GX030021_07.26.2023_2023-07-26-232742.xlsx,02390001,no,mixed,male,4.66,4
02390001/02390001_GX030022_07.26.2023_2023-07-26-224055.xlsx,02390001,no,mixed,male,4.66,4
02410001/02410001_GX010022_07.24.2023_2023-07-24-213454.xlsx,02410001,no,asian,female,4.7,4
02410001/02410001_GX010026_07.26.2023_2023-07-31-181325.xlsx,02410001,no,asian,female,4.7,4
02410001/02410001_GX010027_07.26.2023_2023-07-31-181615.xlsx,02410001,no,asian,female,4.7,4
02410001/02410001_GX010028_07.26.2023_2023-07-31-181842.xlsx,02410001,no,asian,female,4.7,4
02410001/02410001_GX010033_08.09.2023_2023-08-09-222956.xlsx,02410001,no,asian,female,4.74,4
02410001/02410001_GX020022_07.24.2023_2023-07-24-221411.xlsx,02410001,no,asian,female,4.7,4
02410001/02410001_GX020026_07.26.2023_2023-07-31-182004.xlsx,02410001,no,asian,female,4.7,4
02410001/02410001_GX020033_08.09.2023_2023-08-09-224735.xlsx,02410001,no,asian,female,4.74,4
02410001/02410001_GX030022_07.24.2023_2023-07-24-222332.xlsx,02410001,no,asian,female,4.7,4
02410001/02410001_GX030026_07.26.2023_2023-07-31-182208.xlsx,02410001,no,asian,female,4.7,4
02410001/02410001_GX030033_08.09.2023_2023-08-09-225946.xlsx,02410001,no,asian,female,4.74,4
02410001/02410001_GX040033_08.09.2023_2023-08-09-230618.xlsx,02410001,no,asian,female,4.74,4
02450001/02450001_GX010026_08.02.2023_2023-08-02-232133.xlsx,02450001,no,mixed,male,4.8,4
02450001/02450001_GX010030_07.26.2023_2023-07-31-181744.xlsx,02450001,no,mixed,male,4.78,4
02450001/02450001_GX020026_08.02.2023_2023-08-02-225649.xlsx,02450001,no,mixed,male,4.8,4
02450001/02450001_GX020030_07.26.2023_2023-07-31-182417.xlsx,02450001,no,mixed,male,4.78,4
02450001/02450001_GX030026_08.02.2023_2023-08-02-230302.xlsx,02450001,no,mixed,male,4.8,4
02450001/02450001_GX030030_07.26.2023_2023-07-31-182221.xlsx,02450001,no,mixed,male,4.78,4
02490001/02490001_GX010002_07.14.2023_2023-07-14-192305.xlsx,02490001,no,white,female,4.82,4
02490001/02490001_GX010011_07.19.2023_2023-07-19-223953.xlsx,02490001,no,white,female,4.84,4
02490001/02490001_GX010018_07.31.2023_2023-07-31-210714.xlsx,02490001,no,white,female,4.87,4
02490001/02490001_GX010045_08.04.2023_2023-08-06-060642.xlsx,02490001,no,white,female,4.88,4
02490001/02490001_GX020002_07.14.2023_2023-07-14-191506.xlsx,02490001,no,white,female,4.82,4
02490001/02490001_GX020011_07.19.2023_2023-07-19-224848.xlsx,02490001,no,white,female,4.84,4
02490001/02490001_GX020045_08.04.2023_2023-08-06-095531.xlsx,02490001,no,white,female,4.88,4
02490001/02490001_GX030002_07.14.2023_2023-07-14-190706.xlsx,02490001,no,white,female,4.82,4
02490001/02490001_GX030045_08.04.2023_2023-08-06-104106.xlsx,02490001,no,white,female,4.88,4
02550001/02550001_GX010012_7.24.2023_2023-07-24-211649.xlsx,02550001,no,black,female,4.97,4
02550001/02550001_GX010019_07.26.2023_2023-07-26-224228.xlsx,02550001,no,black,female,4.98,4
02550001/02550001_GX010031_7.31.2023_2023-07-31-181434.xlsx,02550001,no,black,female,4.99,4
02550001/02550001_GX010037_7.31.2023_2023-08-02-042508.xlsx,02550001,no,black,female,4.99,4
02550001/02550001_GX020037_7.31.2023_2023-08-02-051226.xlsx,02550001,no,black,female,4.99,4
02550001/02550001_GX030037_7.31.2023_2023-08-02-055727.xlsx,02550001,no,black,female,4.99,4
02550001/02550001_GX040037_7.31.2023_2023-08-02-064628.xlsx,02550001,no,black,female,4.99,4
02550001/02550001_GX050037_7.31.2023_2023-08-02-072649.xlsx,02550001,no,black,female,4.99,4
02620001/02620001_GX010004_07.17.2023_2023-07-20-041141.xlsx,02620001,no,white,female,5.09,5
02620001/02620001_GX010010_07.24.2023_2023-07-24-211057.xlsx,02620001,no,white,female,5.11,5
02620001/02620001_GX010022_08.07.2023_2023-08-07-190026.xlsx,02620001,no,white,female,5.15,5
02620001/02620001_GX010024_07.26.2023_2023-07-31-055933.xlsx,02620001,no,white,female,5.12,5
02620001/02620001_GX010025_07.26.2023_2023-07-31-180933.xlsx,02620001,no,white,female,5.12,5
02620001/02620001_GX020004_07.17.2023_2023-07-20-193850.xlsx,02620001,no,white,female,5.09,5
02620001/02620001_GX020010_07.24.2023_2023-07-24-211134.xlsx,02620001,no,white,female,5.11,5
02620001/02620001_GX020022_08.07.2023_2023-08-07-191011.xlsx,02620001,no,white,female,5.15,5
02620001/02620001_GX020025_07.26.2023_2023-07-31-182041.xlsx,02620001,no,white,female,5.12,5
02620001/02620001_GX030022_08.07.2023_2023-08-07-203639.xlsx,02620001,no,white,female,5.15,5
02670001/02670001_GX010003_07.17.2023_2023-07-20-032542.xlsx,02670001,no,asian,male,5.19,5
02670001/02670001_GX010007_07.19.2023_2023-07-20-154253.xlsx,02670001,no,asian,male,5.19,5
02670001/02670001_GX010011_07.24.2023_2023-07-24-211430.xlsx,02670001,no,asian,male,5.21,5
02670001/02670001_GX010020_07.31.2023_2023-07-31-211214.xlsx,02670001,no,asian,male,5.23,5
02670001/02670001_GX010025_08.09.2023_2023-08-14-160624.xlsx,02670001,no,asian,male,5.25,5
02670001/02670001_GX020003_07.17.2023_2023-07-20-162300.xlsx,02670001,no,asian,male,5.19,5
02670001/02670001_GX020011_07.24.2023_2023-07-24-211636.xlsx,02670001,no,asian,male,5.21,5
02670001/02670001_GX020020_07.31.2023_2023-07-31-211601.xlsx,02670001,no,asian,male,5.23,5
02670001/02670001_GX020025_08.09.2023_2023-08-14-160959.xlsx,02670001,no,asian,male,5.25,5
02670001/02670001_GX030003_07.17.2023_2023-07-20-172711.xlsx,02670001,no,asian,male,5.19,5
02670001/02670001_GX030020_07.31.2023_2023-07-31-211607.xlsx,02670001,no,asian,male,5.23,5
02730001/02730001_GX010014_7.21.2023_2023-07-24-030036.xlsx,02730001,no,white,female,5.3,5
02730001/02730001_GX010015_7.28.2023_2023-07-30-040036.xlsx,02730001,no,white,female,5.32,5
02730001/02730001_GX010019_7.24.2023_2023-07-24-203620.xlsx,02730001,no,white,female,5.31,5
02730001/02730001_GX010021_7.24.2023_2023-07-24-205547.xlsx,02730001,no,white,female,5.31,5
02730001/02730001_GX010042_8.2.2023_2023-08-02-223853.xlsx,02730001,no,white,female,5.34,5
02730001/02730001_GX010044_8.4.2023_2023-08-06-052546.xlsx,02730001,no,white,female,5.34,5
02730001/02730001_GX020015_7.28.2023_2023-07-30-041152.xlsx,02730001,no,white,female,5.32,5
02730001/02730001_GX020042_8.2.2023_2023-08-02-224122.xlsx,02730001,no,white,female,5.34,5
02730001/02730001_GX020044_8.4.2023_2023-08-06-090813.xlsx,02730001,no,white,female,5.34,5
02730001/02730001_GX030044_8.4.2023_2023-08-06-104035.xlsx,02730001,no,white,female,5.34,5
02740001/02740001_GX010008_07.19.2023_2023-07-19-230031.xlsx,02740001,no,asian,female,5.32,5
02740001/02740001_GX010009_07.19.2023_2023-07-19-230648.xlsx,02740001,no,asian,female,5.32,5
02740001/02740001_GX010034_08.09.2023_2023-08-09-223524.xlsx,02740001,no,asian,female,5.37,5
02740001/02740001_GX010035_08.09.2023_2023-08-09-224139.xlsx,02740001,no,asian,female,5.37,5
02740001/02740001_GX020008_07.19.2023_2023-07-19-224147.xlsx,02740001,no,asian,female,5.32,5
02740001/02740001_GX020009_07.19.2023_2023-07-19-224824.xlsx,02740001,no,asian,female,5.32,5
02740001/02740001_GX020035_08.09.2023_2023-08-09-225346.xlsx,02740001,no,asian,female,5.37,5
02740001/02740001_GX030009_07.19.2023_2023-07-19-225346.xlsx,02740001,no,asian,female,5.32,5
02740001/02740001_GX030035_08.09.2023_2023-08-09-230556.xlsx,02740001,no,asian,female,5.37,5
02740001/02740001_GX040035_08.09.2023_2023-08-09-222342.xlsx,02740001,no,asian,female,5.37,5
02750001/02750001_GX010010_07.19.2023_2023-07-19-230758.xlsx,02750001,no,white,male,5.35,5
02750001/02750001_GX010015_07.24.2023_2023-07-24-190118.xlsx,02750001,no,white,male,5.36,5
02750001/02750001_GX010016_07.24.2023_2023-07-24-190531.xlsx,02750001,no,white,male,5.36,5
02750001/02750001_GX010017_07.24.2023_2023-07-24-190702.xlsx,02750001,no,white,male,5.36,5
02750001/02750001_GX020015_07.24.2023_2023-07-24-184655.xlsx,02750001,no,white,male,5.36,5
02750001/02750001_GX020016_07.24.2023_2023-07-24-185036.xlsx,02750001,no,white,male,5.36,5
02750001/02750001_GX030015_07.24.2023_2023-07-24-185455.xlsx,02750001,no,white,male,5.36,5
02750001/02750001_GX040015_07.24.2023_2023-07-24-185701.xlsx,02750001,no,white,male,5.36,5
02750001/02750001_GX050015_07.24.2023_2023-07-24-185755.xlsx,02750001,no,white,male,5.36,5
02750002/02750002_GX010011_07.21.2023_2023-07-21-200135.xlsx,02750002,no,mixed,female,5.34,5
02750002/02750002_GX010043_08.04.2023_2023-08-06-044511.xlsx,02750002,no,mixed,female,5.38,5
02750002/02750002_GX020011_07.21.2023_2023-07-21-212632.xlsx,02750002,no,mixed,female,5.34,5
02750002/02750002_GX020043_08.04.2023_2023-08-06-082948.xlsx,02750002,no,mixed,female,5.38,5
02750002/02750002_GX030043_08.04.2023_2023-08-06-103521.xlsx,02750002,no,mixed,female,5.38,5
02800001/02800001_GX010023_08.09.23_2023-08-14-160117.xlsx,02800001,yes,other,male,5.5,5
02800001/02800001_GX010027_08.04.2023_2023-08-04-205608.xlsx,02800001,yes,other,male,5.49,5
02800001/02800001_GX010040_8.2.2023_2023-08-02-192931.xlsx,02800001,yes,other,male,5.48,5
02800001/02800001_GX020023_08.09.23_2023-08-14-160915.xlsx,02800001,yes,other,male,5.5,5
02800001/02800001_GX020027_08.04.2023_2023-08-04-205045.xlsx,02800001,yes,other,male,5.49,5
02800001/02800001_GX020040_8.2.2023_2023-08-02-202015.xlsx,02800001,yes,other,male,5.48,5
02800001/02800001_GX030023_08.09.23_2023-08-14-161819.xlsx,02800001,yes,other,male,5.5,5
02800001/02800001_GX030027_08.04.2023_2023-08-04-205340.xlsx,02800001,yes,other,male,5.49,5
02800001/02800001_GX030040_8.2.2023_2023-08-06-102908.xlsx,02800001,yes,other,male,5.48,5
02800001/02800001_GX040023_08.09.23_2023-08-14-161900.xlsx,02800001,yes,other,male,5.5,5
02800001/02800001_GX040027_08.04.2023_2023-08-04-205359.xlsx,02800001,yes,other,male,5.49,5
02800002/02800002_GX010023_07.26.2023_2023-07-26-230731.xlsx,02800002,yes,asian,male,5.45,5
02800002/02800002_GX010030_08.04.2023_2023-08-04-204835.xlsx,02800002,yes,asian,male,5.48,5
02800002/02800002_GX020023_07.26.2023_2023-07-26-232617.xlsx,02800002,yes,asian,male,5.45,5
02950001/02950001_GX010006_07.19.2023_2023-07-20-050210.xlsx,02950001,no,black,female,5.73,5
02950001/02950001_GX010013_07.24.2023_2023-07-24-211931.xlsx,02950001,no,black,female,5.74,5
02950001/02950001_GX010014_07.24.2023_2023-07-24-212128.xlsx,02950001,no,black,female,5.74,5
02950001/02950001_GX010015_07.21.2023_2023-07-24-041524.xlsx,02950001,no,black,female,5.74,5
02950001/02950001_GX010016_07.21.2023_2023-07-24-195044.xlsx,02950001,no,black,female,5.74,5
02950001/02950001_GX010032_08.07.2023_2023-08-07-185336.xlsx,02950001,no,black,female,5.78,5
02950001/02950001_GX020006_07.19.2023_2023-07-20-200056.xlsx,02950001,no,black,female,5.73,5
02950001/02950001_GX020013_07.24.2023_2023-07-24-212028.xlsx,02950001,no,black,female,5.74,5
02950001/02950001_GX020015_07.21.2023_2023-07-24-190726.xlsx,02950001,no,black,female,5.74,5
02950001/02950001_GX020032_08.07.2023_2023-08-07-190249.xlsx,02950001,no,black,female,5.78,5
02950001/02950001_GX030015_07.21.2023_2023-07-24-192532.xlsx,02950001,no,black,female,5.74,5
02950001/02950001_GX030032_08.07.2023_2023-08-07-183741.xlsx,02950001,no,black,female,5.78,5
02980001/02980001_GX010012_07.21.2023_2023-07-21-202440.xlsx,02980001,no,mixed,female,5.78,5
02980001/02980001_GX010024_08.09.2023_2023-08-14-160242.xlsx,02980001,no,mixed,female,5.79,5
02980001/02980001_GX010025_08.02.2023_2023-08-02-231518.xlsx,02980001,no,mixed,female,5.81,5
02980001/02980001_GX020012_07.21.2023_2023-07-21-214933.xlsx,02980001,no,mixed,female,5.78,5
02980001/02980001_GX020024_07.24.2023_2023-07-24-232845.xlsx,02980001,no,mixed,female,5.79,5
02980001/02980001_GX020025_08.02.2023_2023-08-02-225032.xlsx,02980001,no,mixed,female,5.81,5
02980001/02980001_GX030012_07.21.2023_2023-07-21-192848.xlsx,02980001,no,mixed,female,5.78,5
